Symbol,Trade Date,Type,Quantity,Price (USD),Proceeds (USD),Commission (USD)
SQ,2023-09-18 10:39:42,BUY,100.0,51.7875,-5178.75,-10.36
RSKD,2023-09-18 10:49:05,BUY,1500.0,4.41,-6615.0,-13.23
SPLK,2023-09-21 09:57:52,BUY,70.0,144.63,-10124.1,-20.25
S,2023-09-29 10:55:43,SELL,800.0,17.0,13600.0,-27.2
HOOD,2023-12-11 09:30:00,BUY,600.0,11.55,-6930.0,-13.86
CFLT,2024-01-03 14:21:16,BUY,350.0,21.91,-7668.5,-15.34
NET,2024-02-09 09:31:00,SELL,200.0,112.0,22400.0,-44.8
ESTC,2024-02-15 09:30:11,SELL,100.0,132.85,13285.0,-26.57
SPLK,2024-02-16 09:30:00,SELL,220.0,155.4,34188.0,-68.38
CP,2024-05-17 09:30:00,SELL,74.0,81.94,6063.56,-12.13
HOOD,2024-06-06 11:33:58,SELL,550.0,23.0,12650.0,-25.3
CSX,2024-06-17 09:33:20,SELL,180.0,32.2,5796.0,-11.59
NVAX,2024-06-17 09:38:58,SELL,15.0,14.7,220.5,-9.95
KWEB,2024-06-20 09:30:00,SELL,200.0,28.89,5778.0,-11.56
ASAN,2024-06-21 09:37:09,SELL,100.0,12.1,1210.0,-9.95
AMPL,2024-06-21 15:06:25,SELL,605.0,8.45,5112.25,-10.22
BASE,2024-06-27 09:42:14,SELL,200.0,18.0,3600.0,-9.95
EMLC,2024-06-28 09:30:00,SELL,300.0,23.8,7140.0,-14.28
